State,LGA,Ward,PU-Code,PU-Name,Full Address,Latitude,Longitude,Accredited_Voters,Registered_Voters,Voter Consistency,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP
YOBE,BADE,GWIO-KURA,35-01-02-003,"GWIO DINA ,PRI. SCH.","YOBE BADE GWIO-KURA GWIO DINA ,PRI. SCH. ",12.674848,11.0667561,222,777,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,17,0,18,0
YOBE,BADE,LAWAN FANNAMI,35-01-05-001,"ARI KULOLA, ARI KULOLA GATE","YOBE BADE LAWAN FANNAMI ARI KULOLA, ARI KULOLA GATE ",12.8789715,11.0400653,184,750,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,48,0,115,13
YOBE,BADE,LAWAN FANNAMI,35-01-05-005,TSANGAYA I OPEN SPACE,YOBE BADE LAWAN FANNAMI TSANGAYA I OPEN SPACE,12.8789715,11.0400653,320,1358,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,73,0,221,22
YOBE,BADE,SARKIN HAUSAWA,35-01-07-002,TALBARI L.E.A.,YOBE BADE SARKIN HAUSAWA TALBARI L.E.A.,12.8447255,11.045721,581,1935,OKAY,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,36,0,192,36
YOBE,BADE,TAGALI/SUGUM,35-01-08-007,MADAMUWA BULAMA GATE,YOBE BADE TAGALI/SUGUM MADAMUWA BULAMA GATE,12.7509043,10.6421799,193,572,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,119,0,43,19
YOBE,BADE,TAGALI/SUGUM,35-01-08-008,MADAMUWA BULAMA GATE,YOBE BADE TAGALI/SUGUM MADAMUWA BULAMA GATE,12.7509043,10.6421799,193,572,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,225,0,65,10
YOBE,BADE,USUR/DAWAYO,35-01-09-008,AZAM KURA B. GATE II,YOBE BADE USUR/DAWAYO AZAM KURA B. GATE II,12.84228,10.901604,168,807,OKAY,TRUE,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,52,0,52,62
YOBE,BADE,ZANGON MUSA/ZANGO UMARU,35-01-10-006,NOMAU NA INNA,YOBE BADE ZANGON MUSA/ZANGO UMARU NOMAU NA INNA,12.8669155,11.0570334,223,977,OKAY,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,67,0,140,10
YOBE,BURSARI,DAMNAWA/JULURI,35-02-02-005,JULURI II. PRI SCHOOL,YOBE BURSARI DAMNAWA/JULURI JULURI II. PRI SCHOOL,12.8897014,11.6385328,58,393,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,32,0,19,2
YOBE,BURSARI,KALIYARI,35-02-08-009,"TUNGA, DANDALI MAIGARI","YOBE BURSARI KALIYARI TUNGA, DANDALI MAIGARI ",12.8977856,11.4566299,116,579,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,50,0,47,4
YOBE,BURSARI,MASABA,35-02-10-003,"DASKUM, PRI. SCH.","YOBE BURSARI MASABA DASKUM, PRI. SCH. ",12.8923946,11.1737694,87,432,OKAY,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,33,0,48,2
YOBE,BURSARI,MASABA,35-02-10-008,GIRWAN PRI SCHOOL,YOBE BURSARI MASABA GIRWAN PRI SCHOOL,12.8923946,11.1737694,127,462,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,25,0,92,4
YOBE,BURSARI,MASABA,35-02-10-010,"MASABA, DISPENSARY","YOBE BURSARI MASABA MASABA, DISPENSARY ",12.909649,11.1843887,163,542,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,67,0,89,3
YOBE,DAMATURU,KUKARETA/WARSALA,35-03-06-005,GONI USMAN GATE,YOBE DAMATURU KUKARETA/WARSALA GONI USMAN GATE,11.7469961,11.9661922,38,492,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,23,0,9,0
YOBE,FIKA,MUBI / FUSAMI / GARIN WAYO,35-04-06-004,"GARIN WAYO, PRI. SCH.","YOBE FIKA MUBI / FUSAMI / GARIN WAYO GARIN WAYO, PRI. SCH. ",11.194858,11.3204164,403,906,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,104,0,296,0
YOBE,FUNE,ABAKIRE / NGENLSHENGELE / SHAMKA,35-05-01-008,LAMIDO GOMBE K/BULAMA,YOBE FUNE ABAKIRE / NGENLSHENGELE / SHAMKA LAMIDO GOMBE K/BULAMA,11.5163574,11.6612934,104,332,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,52,0,45,1
YOBE,FUNE,BORNO KIJI/NGARHO/BEBBENDE,35-05-03-003,"BINDIGI  , PRI. SCH.","YOBE FUNE BORNO KIJI/NGARHO/BEBBENDE BINDIGI  , PRI. SCH. ",12.1845649,11.253247,234,750,OKAY,TRUE,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,107,0,96,0
YOBE,FUNE,DAMAGUM TOWN,35-05-04-003,"ANGUWAR DUTSI, MARKET STALL STORE","YOBE FUNE DAMAGUM TOWN ANGUWAR DUTSI, MARKET STALL STORE ",11.6575375,11.348779,281,750,OKAY,TRUE,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,46,1,215,6
YOBE,FUNE,DAMAGUM TOWN,35-05-04-009,"DAMAGUM , CENTRAL PRI. SCH. II","YOBE FUNE DAMAGUM TOWN DAMAGUM , CENTRAL PRI. SCH. II ",11.6786065,11.3383567,218,750,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,32,0,170,2
YOBE,FUNE,FUNE/NGELZARMA/MILBIYAR/LAWAN KALAM,35-05-07-006,FUNE PRIMARY SCHOOL,YOBE FUNE FUNE/NGELZARMA/MILBIYAR/LAWAN KALAM FUNE PRIMARY SCHOOL,11.6703569,11.535526,301,959,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,158,0,120,1
